state,y2022
Alabama,"$1,542"
Alaska,"$1,359"
Arizona,"$1,617"
Arkansas,"$1,597"
California,"$2,115"
Colorado,"$1,940"
Connecticut,"$1,750"
Delaware,"$2,137"
Florida,"$2,560"
Georgia,"$1,647"
Hawaii,"$1,306"
Idaho,"$1,121"
Illinois,"$1,578"
Indiana,"$1,256"
Iowa,"$1,321"
Kansas,"$1,594"
Kentucky,"$2,105"
Louisiana,"$2,546"
Maine,"$1,116"
Maryland,"$1,640"
Massachusetts,"$1,538"
Michigan,"$2,133"
Minnesota,"$1,493"
Mississippi,"$1,606"
Missouri,"$2,104"
Montana,"$1,692"
Nebraska,"$2,018"
Nevada,"$2,023"
New Hampshire,"$1,307"
New Jersey,"$1,901"
New Mexico,"$1,505"
New York,"$2,020"
North Carolina,"$1,368"
North Dakota,"$1,419"
Ohio,"$1,023"
Oklahoma,"$1,797"
Oregon,"$1,244"
Pennsylvania,"$1,445"
Rhode Island,"$1,845"
South Carolina,"$1,894"
South Dakota,"$1,581"
Tennessee,"$1,373"
Texas,"$1,875"
Utah,"$1,469"
Vermont,"$1,158"
Virginia,"$1,321"
Washington,"$1,371"
Washington D.C.,"$1,858"
West Virginia,"$1,610"
Wisconsin,"$1,499"
Wyoming,"$1,736"