Data Series    Area,GraphClear,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,"View
History"
U.S.,,6.34,6.88,8.37,9.7,8.14,9.76,2001-2022
Alabama,,6.12,7.44,9.24,9.96,10.35,12.87,2001-2022
Alaska,,6.89,6.69,6.75,6.77,6.66,6.54,2001-2022
Arizona,,7.44,6.68,6.96,7.3,7.77,7.96,2001-2022
Arkansas,,10.48,10.14,9.98,10.05,10.89,10.74,2001-2022
California,,12.91,NA,12.26,14.18,13.35,14.35,2001-2022
Colorado,,7.32,8.31,10.09,11.21,13.67,13.86,2001-2022
Connecticut,,8.75,9.36,10.5,10.96,10.37,11.28,2001-2022
Delaware,,10.94,11.57,13.27,14.85,15.11,NA,2001-2022
District of Columbia,,--,--,--,--,--,--,2001-2022
Florida,,8.63,NA,NA,9.86,NA,NA,2001-2022
Georgia,,7.11,7.55,9.15,11.21,10.12,13.67,2001-2022
Hawaii,,32.53,35.42,37.96,41.31,39.17,34.88,2001-2022
Idaho,,4.43,4.36,4.43,4.39,4.52,5.97,2001-2022
Illinois,,7.66,7.53,8.88,13.35,NA,NA,2001-2022
Indiana,,7.61,8.5,8.37,NA,7.78,7.26,2001-2022
Iowa,,9.69,8.83,9.18,9.46,8.09,8.45,2001-2022
Kansas,,7.14,6.68,7.96,9.43,9.06,9.06,2001-2022
Kentucky,,6.16,6.49,8.48,9.94,8.08,10.4,2001-2022
Louisiana,,6.66,5.2,5.82,7.69,8.69,6.74,2001-2022
Maine,,12.34,12.3,10.76,12.62,11.56,11.64,2001-2022
Maryland,,10.41,11.23,12.17,11.81,15.36,15.19,2001-2022
Massachusetts,,13.34,14.29,14.67,14.84,15.55,14.27,2001-2022
Michigan,,8.07,8.11,10.16,9.97,10.69,9.75,2001-2022
Minnesota,,7.87,8.2,10.37,13.4,10.04,11.92,2001-2022
Mississippi,,6.37,7.23,9.25,10.13,8.28,11.22,2001-2022
Missouri,,9.15,8.94,9.86,10.42,10.83,10.31,2001-2022
Montana,,8.11,7.95,8.55,9.53,10.72,11.14,2001-2022
Nebraska,,7.56,6.45,6.94,9.23,10.88,8.7,2001-2022
Nevada,,6.94,7.75,8.25,8.51,8.64,9.07,2001-2022
New Hampshire,,11.62,13.13,13.41,10.62,11.54,12.52,2001-2022
New Jersey,,10.6,NA,11.15,14.79,NA,NA,2001-2022
New Mexico,,7.66,7.04,7.94,10.95,11.5,10.39,2001-2022
New York,,9.94,9.84,10.36,11.45,10.62,11.21,2001-2022
North Carolina,,8.56,8.08,8.35,9.68,9.56,10.98,2001-2022
North Dakota,,4.97,5.29,7.09,8.14,6.46,8.23,2001-2022
Ohio,,8.25,10.47,11.51,13.1,10.68,NA,2001-2022
Oklahoma,,6.41,5.95,7.73,10.04,7.34,8.57,2001-2022
Oregon,,4.35,6.09,6.36,6.58,6.52,7.23,2001-2022
Pennsylvania,,10.23,9.74,10.11,10.78,11.87,12.31,2001-2022
Rhode Island,,10.45,10.87,10.97,10.92,11.22,11.42,2001-2022
South Carolina,,7.25,7.07,8.42,10.5,9.12,12.31,2001-2022
South Dakota,,7.92,5.76,6.69,5.36,10.77,10.67,2001-2022
Tennessee,,6.54,7.06,8.62,10.41,8.94,10.13,2001-2022
Texas,,4.91,6.03,7.91,9.36,7.18,9,2001-2022
Utah,,7.04,7.1,7.4,7.97,7.28,8.27,2001-2022
Vermont,,5.71,5.97,6.73,7.31,6.64,7.21,2001-2022
Virginia,,6.2,6.57,9.08,10.27,8.98,8.29,2001-2022
Washington,,9.33,9.51,8.84,8.35,9.16,8.86,2001-2022
West Virginia,,4.69,4.82,6.44,7.88,6.22,7.74,2001-2022
Wisconsin,,6.47,8.3,10.39,NA,6.75,12.68,2001-2022
Wyoming,,8.48,9.12,9.3,9.29,NA,12.4,2001-2022