state,y2020,y2021
Alabama,8,5.9
Alaska,17.7,15.8
Arizona,5.3,5.4
Arkansas,4.7,3.9
California,16.2,15.9
Colorado,7.4,6.5
Connecticut,17.1,14.6
Delaware,9.7,9.7
District of Columbia,8.6,8.9
Florida,6.4,5.2
Georgia,4.6,4.8
Hawaii,23.7,22.4
Idaho,5.6,4.7
Illinois,14.3,13.9
Indiana,8.3,9
Iowa,6.6,6.5
Kansas,8.9,9.2
Kentucky,7.5,7.2
Louisiana,5.9,4.7
Maine,14.7,12.4
Maryland,13.1,11
Massachusetts,12,12.6
Michigan,15.2,13.3
Minnesota,15.8,16
Mississippi,7.1,5.5
Missouri,9.4,9
Montana,12,11.2
Nebraska,9.6,6.8
Nevada,13.4,12.2
New Hampshire,9.8,10.1
New Jersey,16.1,16.2
New Mexico,7.1,7.5
New York,22,22.2
North Carolina,3.1,2.6
North Dakota,6.2,5.4
Ohio,13.2,12
Oklahoma,6,5.6
Oregon,16.2,17.8
Pennsylvania,13.5,12.9
Rhode Island,17.8,15.7
South Carolina,2.9,1.7
South Dakota,4.3,4
Tennessee,4.4,5.2
Texas,4.9,3.8
Utah,3.7,3.5
Vermont,11.8,12.3
Virginia,4.4,4.8
Washington,17.4,19
West Virginia,10.7,9.6
Wisconsin,8.7,7.9
Wyoming,7.6,5.7