state,2014,2015,2016,2017,2018,2019,2020,2021
Federal (FLSA),7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...,...,...,...
Alaska,7.75,8.75,9.75,9.8,9.84,10.19,10.19,10.34
Arizona,7.9,8.05,8.05,10,10.5,12,12,12.15
Arkansas,6.25[c],7.50[c],8.00[c],8.50[c],8.50[c],9.25[c],10.00[c],11
California,9,9,10,10,11,12,12,13
Colorado,8,8.23,8.31,9.3,10.2,12,12.02,12.32
Connecticut,8.7,9.15,9.6,10.1,10.1,11,12,13
Delaware,7.75,8.25,8.25,8.25,8.25,9.25,9.25,9.25
Florida,7.93,8.05,8.05,8.1,8.25,8.56,8.56,10
Georgia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,7.25,7.75,8.5,9.25,10.1,10.1,10.1,10.1
Idaho,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],9.25[c],10.00[c],11.00[c]
Indiana,7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...,...,...
Maine,7.5,7.5,7.5,9,10,12,12,12.15
Maryland,7.25,8.25,8.75,8.75,10.1,11,11,11.75
Massachusetts,8,9,10,11,11,12.75,12.75,13.5
Michigan,8.15(e),8.15(e),8.50(e),8.90(e),9.25(e),9.65(e),9.65(e),9.65(e)
Minnesota,6.50-8.00(g),7.25-9.00(g),7.25-9.50(g),7.75-9.50(g),8.04-9.86(g),8.15-10.00(g),10.00(g),10.08(g)
Mississippi,...,...,...,...,...,...,...,...
Missouri,7.5,7.65,7.65,7.7,7.85,9.45,9.45,10.3
Montana,7.90(g),8.05(g),8.05(g),8.15(g),8.30(g),8.65(g),8.65(g),8.75(g)
Nebraska,7.25[c],8.00[c],9.00[c],9.00[c],9.00[c],9.00[c],9.00[c],9.00[c]
Nevada,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,8.00-9.00,8.75-9.75
New Hampshire,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,8.25,8.38,8.38,8.44,8.6,11,11,12
New Mexico,7.5,7.5,7.5,7.5,7.5,9,9,10.5
New York,8,8.75,9,9.7,10.4,11.8,11.8,12.5
North Carolina,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,7.25-7.95,7.25-8.10,7.25-8.10,8.15,8.3,8.7,8.7,8.8
Oklahoma,2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,9.1,9.25,9.75,9.75,10.75,11.25,12,12.75
Pennsylvania,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,8,9,9.6,9.6,10.1,10.5,11.5,11.5
South Carolina,...,...,...,...,...,...,...,...
South Dakota,7.25,8.5,8.55,8.65,8.85,9.3,9.3,9.45
Tennessee,...,...,...,...,...,...,...,...
Texas,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,8.73(e),9.15(e),9.60(e),10.00(e),10.50(e),10.96(e),10.96(e),11.75
Virginia,7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],9.5
Washington,9.32,9.47,9.47,11,11.5,13.5,13.5,13.69
West Virginia,7.25,8,8.75,8.75,8.75,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15